月份,股票代號,股票名稱,最高價,最低價,加權(A/B)平均價,成交筆數,成交金額(A),成交股數(B),週轉率(%)
"11405","0050","元大台灣50","183.85","169.35","177.17","473034","51682613256","291706115","9.64"
"11405","0051","元大中型100","73.50","68.75","71.64","5785","115126525","1606927","6.18"
"11405","0052","富邦科技","177.75","161.75","170.47","19866","1724477086","10115889","12.26"
"11405","0053","元大電子","97.20","89.60","93.59","2289","22863637","244290","4.45"
"11405","0055","元大MSCI金融","28.48","26.15","27.34","9357","139059619","5086161","8.59"
"11405","0056","元大高股息","34.66","32.10","33.69","521787","22603559134","670742480","5.13"
"11405","0057","富邦摩台","136.20","126.85","131.99","2230","69387115","525666","34.42"
"11405","0061","元大寶滬深","19.00","17.40","17.98","4544","108627899","6038921","4.16"
"11405","006203","元大MSCI台灣","84.95","79.10","81.95","1756","9762385","119123","1.16"
"11405","006204","永豐臺灣加權","109.95","102.50","106.42","1626","20175111","189566","12.63"
"11405","006205","富邦上証","31.86","29.70","30.96","7694","359007573","11592229","8.49"
"11405","006206","元大上證50","30.93","28.50","29.76","3682","71316765","2396366","5.66"
"11405","006207","復華滬深","25.90","22.30","23.32","1758","65061856","2789351","9.02"
"11405","006208","富邦台50","107.65","99.25","104.03","217952","13808525526","132734579","6.27"
"11405","00625K","富邦上証+R","7.46","6.89","30.71","11","430079","14000","4.20"
"11405","00631L","元大台灣50正2","200.60","171.30","186.68","126422","31745269883","170051041","52.63"
"11405","00632R","元大台灣50反1","24.74","22.83","23.64","210469","34118710302","1442861424","67.08"
"11405","00633L","富邦上証正2","39.40","35.16","37.46","17278","3954427119","105560341","40.21"
"11405","00634R","富邦上証反1","4.00","3.71","3.81","578","20248473","5313658","11.36"
"11405","00635U","期元大S&P黃金","37.77","34.66","36.36","47025","3606844348","99196025","74.29"
"11405","00636","國泰中國A50","22.39","20.58","21.73","10619","698689172","32148398","17.30"
"11405","00636K","國泰中國A50+U","7.47","6.95","219.64","41","900526","4100","6.60"
"11405","00637L","元大滬深300正2","15.76","13.99","14.99","98435","15303634447","1020522535","55.79"
"11405","00638R","元大滬深300反1","8.42","7.69","7.92","1342","100660672","12697075","25.93"
"11405","00639","富邦深100","11.10","10.30","10.73","8630","256204781","23871095","12.40"
"11405","00640L","富邦日本正2","53.00","48.40","50.10","3812","612708728","12227967","74.47"
"11405","00641R","富邦日本反1","5.97","5.69","5.84","2787","169113253","28915139","45.35"
"11405","00642U","期元大S&P石油","15.37","13.55","14.59","23416","1582759994","108446000","68.93"
"11405","00643","群益深証中小","12.44","11.48","12.03","3995","628014778","52182292","44.00"
"11405","00643K","群益深証中小+R","2.80","2.72","11.58","12","138972","12000","9.44"
"11405","00645","富邦日本","38.87","37.06","37.80","12734","249861083","6609423","10.09"
"11405","00646","元大S&P500","56.50","52.05","54.61","49721","4196896570","76844119","13.31"
"11405","00647L","元大S&P500正2","90.55","80.20","85.42","4054","532840678","6237175","43.26"
"11405","00648R","元大S&P500反1","5.29","4.88","5.05","3851","228395119","45186938","29.21"
"11405","00650L","復華香港正2","14.94","13.24","14.10","28499","4174174279","295850574","132.17"
"11405","00651R","復華香港反1","6.64","5.89","6.10","2589","158192240","25897905","59.95"
"11405","00652","富邦印度","38.01","35.23","36.34","12269","400531197","11020041","10.49"
"11405","00653L","富邦印度正2","58.05","52.60","55.75","3325","438477447","7864602","38.54"
"11405","00654R","富邦印度反1","6.64","6.26","6.40","794","42212229","6593769","27.51"
"11405","00655L","國泰中國A50正2","27.23","24.30","25.86","8438","1660490542","64204708","46.20"
"11405","00656R","國泰中國A50反1","7.46","6.83","7.04","747","46914592","6658941","31.92"
"11405","00657","國泰日經225","45.08","43.39","43.88","1873","91230012","2078607","24.21"
"11405","00657K","國泰日經225+U","15.11","13.95","444.26","40","1777062","4000","137.93"
"11405","00660","元大歐洲50","39.87","37.23","38.75","2493","58213397","1501941","17.60"
"11405","00661","元大日經225","49.15","47.34","48.05","3191","150328950","3128147","10.28"
"11405","00662","富邦NASDAQ","83.80","75.60","79.95","39139","4940890958","61798774","9.78"
"11405","00663L","國泰臺灣加權正2","183.00","157.05","170.72","1081","240118813","1406486","77.74"
"11405","00664R","國泰臺灣加權反1","4.00","3.68","3.81","22758","1453289793","380699532","59.80"
"11405","00665L","富邦恒生國企正2","10.25","9.14","9.70","72043","7154123697","736897015","115.14"
"11405","00666R","富邦恒生國企反1","10.43","9.36","9.73","1247","102928388","10569652","65.55"
"11405","00668","國泰美國道瓊","47.80","43.91","45.88","4081","321831916","7013394","60.81"
"11405","00668K","國泰美國道瓊+U","15.60","14.79","460.45","41","1887860","4100","164.00"
"11405","00669R","國泰美國道瓊反1","6.77","6.27","6.45","6199","449919638","69690613","33.01"
"11405","00670L","富邦NASDAQ正2","127.50","106.40","116.97","21979","4127075296","35280385","39.57"
"11405","00671R","富邦NASDAQ反1","3.67","3.30","3.46","13153","1077549939","311049965","54.53"
"11405","00673R","期元大S&P原油反1","8.34","7.30","7.61","23192","2503329376","328573909","87.45"
"11405","00674R","期元大S&P黃金反1","8.08","7.43","7.72","12597","1275803614","165231943","153.55"
"11405","00675L","富邦臺灣加權正2","79.85","68.20","74.82","73957","8926921315","119307403","52.37"
"11405","00676R","富邦臺灣加權反1","13.53","12.50","12.94","7771","626492908","48414885","50.25"
"11405","00678","群益那斯達克生技","26.59","23.10","24.08","2505","201558923","8369491","93.53"
"11405","00680L","元大美債20正2","7.53","6.57","6.96","74949","7184028433","1031999394","27.51"
"11405","00681R","元大美債20反1","21.89","20.83","21.27","779","78497799","3689505","38.45"
"11405","00682U","期元大美元指數","20.63","20.05","20.38","261","12945907","635173","11.25"
"11405","00683L","期元大美元指正2","21.79","20.54","21.17","938","73953987","3492872","29.26"
"11405","00684R","期元大美元指反1","15.83","15.35","15.64","1296","111279093","7111442","66.53"
"11405","00685L","群益臺灣加權正2","71.75","61.25","66.86","11425","1428138043","21357739","72.05"
"11405","00686R","群益臺灣加權反1","2.43","2.24","2.31","4313","174807545","75664811","67.99"
"11405","00688L","國泰20年美債正2","7.49","6.54","6.91","38835","3394458402","490735047","29.64"
"11405","00689R","國泰20年美債反1","22.48","21.38","22.27","605","130648137","5865703","79.38"
"11405","00690","兆豐藍籌30","33.29","30.65","32.05","6988","477311313","14892023","16.76"
"11405","00692","富邦公司治理","42.60","39.45","41.38","29564","1147316077","27722090","3.89"
"11405","00693U","期街口S&P黃豆","20.66","19.59","20.14","1787","166897843","8283459","18.13"
"11405","00700","富邦恒生國企","16.90","15.80","16.43","9397","309079451","18805190","28.50"
"11405","00701","國泰股利精選30","28.10","26.73","27.49","11248","267104654","9714969","4.61"
"11405","00702","國泰標普低波高息","23.90","21.90","22.46","4044","54599622","2430624","39.27"
"11405","00703","台新MSCI中國","18.87","17.76","18.41","1816","50398551","2737510","15.16"
"11405","00706L","期元大S&P日圓正2","6.55","6.09","6.33","26848","2116309235","334002494","40.55"
"11405","00707R","期元大S&P日圓反1","28.71","27.65","28.31","46","2858941","100977","1.58"
"11405","00708L","期元大S&P黃金正2","61.30","51.50","56.60","43414","6972150504","123175951","165.17"
"11405","00709","富邦歐洲","32.22","30.65","31.37","12141","182643411","5820880","41.69"
"11405","00710B","復華彭博非投等債","19.30","17.70","18.29","1729","171836943","9393240","4.55"
"11405","00711B","復華彭博新興債","15.68","14.27","14.67","1817","51382962","3502112","0.34"
"11405","00712","復華富時不動產","9.01","8.21","8.44","168558","6622315859","784186780","18.75"
"11405","00713","元大台灣高息低波","52.55","50.25","51.56","174979","11063977223","214569430","7.47"
"11405","00714","群益道瓊美國地產","20.60","18.85","19.36","2337","95777547","4946244","17.62"
"11405","00715L","期街口布蘭特正2","10.48","8.28","9.53","153843","14912740789","1563439510","183.95"
"11405","00717","富邦美國特別股","14.92","13.86","14.13","5591","43152470","3053886","1.93"
"11405","00728","第一金工業30","30.24","27.85","29.09","3919","101290688","3481722","7.19"
"11405","00730","富邦臺灣優質高息","22.69","20.95","21.86","8420","88301482","4037766","4.33"
"11405","00731","復華富時高息低波","67.25","64.45","66.05","9968","1056221753","15989596","28.25"
"11405","00733","富邦臺灣中小","40.47","37.40","39.03","22263","730632019","18717339","10.94"
"11405","00735","國泰臺韓科技","31.50","29.29","30.62","1907","94333084","3080028","17.31"
"11405","00736","國泰新興市場","23.49","22.09","23.08","1764","56229060","2436260","42.53"
"11405","00737","國泰AI機器人","30.15","27.00","28.91","2786","143076481","4948209","22.45"
"11405","00738U","期元大道瓊白銀","28.72","27.05","27.92","8652","730831996","26169035","27.89"
"11405","00739","元大MSCI A股","21.54","20.36","20.87","2618","27355383","1310384","4.03"
"11405","00752","中信中國50","23.72","21.95","22.87","24411","1852770815","81000873","23.03"
"11405","00753L","中信中國50正2","10.29","9.27","9.80","76666","6819962948","695742088","71.97"
"11405","00757","統一FANG+","100.55","88.00","95.44","81695","6691612190","70107476","13.54"
"11405","00762","元大全球AI","64.50","57.25","61.17","12760","449512833","7347464","13.29"
"11405","00763U","期街口道瓊銅","27.73","25.60","26.78","3104","251376895","9386616","31.22"
"11405","00770","國泰北美科技","43.92","39.17","42.15","13529","732901782","17385198","13.32"
"11405","00771","元大US高息特別股","16.54","15.11","15.56","1709","28868156","1855074","11.43"
"11405","00775B","新光投等債15+","31.98","28.91","30.16","1180","23873191","791523","0.33"
"11405","00783","富邦中証500","18.87","17.75","18.29","1749","45855498","2507040","20.00"
"11405","00830","國泰費城半導體","38.78","32.65","36.18","77619","5866251962","162120066","15.61"
"11405","00850","元大臺灣ESG永續","43.00","39.93","41.59","27193","1021937855","24569258","5.27"
"11405","00851","台新全球AI","46.76","42.32","45.50","1868","20665165","454159","4.76"
"11405","00852L","國泰美國道瓊正2","24.40","22.29","23.35","2724","387667943","16598892","79.55"
"11405","00861","元大全球未來通訊","41.59","37.80","40.56","4448","173385374","4273871","4.86"
"11405","00865B","國泰US短期公債","46.95","43.43","44.23","3876","488161998","11034610","40.50"
"11405","00875","國泰網路資安","37.63","34.08","36.56","7237","132843654","3633334","20.77"
"11405","00876","元大全球5G","35.35","31.78","33.88","4087","81349792","2400700","2.22"
"11405","00878","國泰永續高股息","21.32","20.20","20.78","623349","26661489029","1283011670","6.10"
"11405","00881","國泰台灣科技龍頭","22.65","20.82","21.85","53803","2719109070","124399646","4.92"
"11405","00882","中信中國高股息","12.97","12.11","12.53","49599","3012027908","240356312","8.51"
"11405","00885","富邦越南","12.37","10.99","11.78","25095","1042136355","88412954","6.58"
"11405","00891","中信關鍵半導體","16.95","15.68","16.31","51587","2129224020","130543405","11.08"
"11405","00892","富邦台灣半導體","16.06","14.80","15.54","12525","339768467","21861805","6.76"
"11405","00893","國泰智能電動車","23.17","19.70","22.02","18295","1066832770","48447702","9.14"
"11405","00894","中信小資高價30","18.97","17.29","18.18","18327","614587276","33801580","23.39"
"11405","00895","富邦未來車","29.65","25.51","28.31","15726","903122527","31891162","12.76"
"11405","00896","中信綠能及電動車","15.73","14.73","15.33","9382","203519193","13273907","5.61"
"11405","00897","富邦基因免疫生技","7.10","6.13","6.37","7078","105371290","16537793","8.18"
"11405","00898","國泰基因免疫革命","6.58","5.66","5.89","5550","62980443","10687277","4.97"
"11405","00899","FT潔淨能源","13.95","12.53","13.33","3206","32399208","2430264","8.95"
"11405","00900","富邦特選高股息30","13.61","12.35","13.05","45487","1975584272","151276364","6.98"
"11405","00901","永豐智能車供應鏈","19.27","17.81","18.42","3252","97495168","5291671","7.06"
"11405","00902","中信電池及儲能","8.00","7.36","7.63","9121","277976100","36415570","7.34"
"11405","00903","富邦元宇宙","13.96","12.49","13.19","5045","94320156","7147621","5.89"
"11405","00904","新光臺灣半導體30","17.04","15.67","16.45","4786","154515824","9391925","10.19"
"11405","00905","FT臺灣Smart","13.20","12.06","12.74","24630","594767254","46648649","9.04"
"11405","00907","永豐優息存股","15.46","14.26","14.95","8624","436107004","29165443","10.21"
"11405","00908","富邦入息REITs+","13.20","12.33","12.59","3736","122288080","9711022","24.32"
"11405","00909","國泰數位支付服務","29.25","24.78","27.93","39176","1931602554","69146459","35.06"
"11405","00910","第一金太空衛星","27.89","24.73","26.86","12813","205882489","7663025","17.64"
"11405","00911","兆豐洲際半導體","23.42","19.95","22.11","2229","56575055","2558250","8.85"
"11405","00912","中信臺灣智慧50","18.14","16.54","17.42","7050","218815462","12555257","15.08"
"11405","00913","兆豐台灣晶圓製造","19.12","17.76","18.53","683","45487156","2454441","20.86"
"11405","00915","凱基優選高股息30","23.55","22.10","22.98","40386","1703865020","74138244","4.54"
"11405","00916","國泰全球品牌50","23.50","21.60","22.88","18873","173073294","7564013","8.55"
"11405","00917","中信特選金融","21.34","19.61","20.75","8265","147730841","7117379","18.02"
"11405","00918","大華優利高填息30","22.63","20.78","21.94","92950","5416049010","246830324","7.01"
"11405","00919","群益台灣精選高息","22.87","21.00","22.15","467308","23426344907","1057240299","6.41"
"11405","00920","富邦ESG綠色電力","12.23","11.45","11.78","3280","60506040","5132874","38.65"
"11405","00921","兆豐龍頭等權重","17.08","16.02","16.60","6895","160527468","9665077","6.91"
"11405","00922","國泰台灣領袖50","20.05","18.61","19.44","60861","3025962641","155625586","11.78"
"11405","00923","群益台ESG低碳50","20.29","18.90","19.70","28487","1064357657","54018345","5.83"
"11405","00924","復華S&P500成長","23.79","21.55","22.75","53161","1592164545","69956227","13.51"
"11405","00925","新光標普電動車","16.86","14.45","15.76","579","31865390","2021212","115.43"
"11405","00926","凱基全球菁英55","20.34","18.85","19.53","12725","593201088","30363018","24.29"
"11405","00927","群益半導體收益","16.91","15.60","16.35","23786","728202954","44528898","5.83"
"11405","00929","復華台灣科技優息","17.88","16.77","17.33","106641","6827542102","393780292","4.11"
"11405","00930","永豐ESG低碳高息","17.30","16.23","16.73","13621","858683343","51302899","13.16"
"11405","00932","兆豐永續高息等權","14.53","13.75","14.15","8442","366783140","25915842","7.93"
"11405","00934","中信成長高股息","18.22","16.28","17.45","20486","1217847710","69774921","7.90"
"11405","00935","野村臺灣新科技50","20.56","18.90","19.91","22513","838120198","42077602","10.09"
"11405","00936","台新永續高息中小","14.70","13.76","14.30","14763","742933483","51943272","6.05"
"11405","00938","凱基優選30","14.33","13.16","13.99","4736","544661688","38916645","19.90"
"11405","00939","統一台灣高息動能","14.11","13.26","13.77","24444","1556593569","112999742","4.28"
"11405","00940","元大台灣價值高息","9.30","8.57","8.99","93711","4456203858","495195195","3.49"
"11405","00941","中信上游半導體","12.93","11.71","12.51","15001","814603126","65097931","6.18"
"11405","00943","兆豐電子高息等權","13.91","12.84","13.46","2528","133844648","9943402","12.14"
"11405","00944","野村趨勢動能高息","14.44","13.59","13.98","8372","230142736","16450538","10.74"
"11405","00945B","凱基美國非投等債","14.54","13.18","13.79","32812","3903663313","282884135","28.57"
"11405","00946","群益科技高息成長","9.11","8.42","8.80","16938","594376447","67539472","6.03"
"11405","00947","台新臺灣IC設計","13.11","11.93","12.57","12480","467003415","37137160","18.96"
"11405","00949","復華日本龍頭","16.48","15.26","15.63","20706","1176720172","75265490","24.80"
"11405","00951","台新日本半導體","7.63","6.75","7.28","9793","344832271","47312138","13.25"
"11405","00952","凱基台灣AI50","9.24","8.42","8.95","9916","445200617","49741314","14.94"
"11405","00953B","群益優選非投等債","9.85","8.85","9.29","111322","8322107422","895175383","24.34"
"11405","00954","中信日本半導體","8.04","7.08","7.59","5070","199180009","26234003","25.65"
"11405","00956","中信日經高股息","9.95","9.13","9.42","7869","161976072","17176790","45.64"
"11405","00960","野村全球航運龍頭","14.44","12.74","13.94","13248","527296112","37808254","19.89"
"11405","00961","FT臺灣永續高息","9.60","9.00","9.30","1092","77316318","8310137","15.24"
"11405","00962","台新AI優息動能","9.21","8.39","8.81","5155","126185929","14311176","15.74"
"11405","00963","中信全球高股息","10.43","9.68","9.98","7687","367234992","36785985","46.90"
"11405","00964","中信亞太高股息","9.94","9.23","9.70","2189","257670507","26560651","142.61"
"11405","00965","元大航太防衛科技","18.49","16.18","17.40","49820","2572509642","147775673","27.54"
"11405","00971","野村美國研發龍頭","13.85","12.29","13.13","9925","439551160","33455578","23.36"
"11405","00972","野村日本動能高息","15.84","14.71","15.01","3607","333651155","22228374","74.91"
"11405","009800","中信NASDAQ","9.11","8.12","8.71","26828","960544011","110271652","27.30"
"11405","009801","中信美國創新科技","9.07","7.92","8.58","19454","910002560","105951647","38.58"
"11405","009802","富邦旗艦50","9.57","8.87","9.27","21841","1119425477","120677365","8.46"
"11405","009803","保德信市值動能50","9.85","9.00","9.48","8122","729764728","76919672","43.62"
"11405","009804","聯邦台精彩50","11.17","10.33","10.73","9336","774605691","72161298","59.69"
"11405","009805","新光美國電力基建","10.28","9.84","10.02","10183","1233857617","123026204","194.30"
"11405","009808","華南永昌優選50","15.00","14.66","14.89","6495","751534629","50448628","45.03"
"11405","00980A","主動野村臺灣優選","10.79","9.82","10.39","48251","3285847198","316102828","160.67"
"11405","00981A","主動統一台股增長","10.07","9.88","9.99","14417","1546825158","154771668","56.85"
"11405","00982A","主動群益台灣強棒","10.15","9.93","10.04","32846","4378469407","436029585","116.13"
"11405","01001T","土銀富邦R1","13.23","12.73","12.99","294","29339208","2257557","0.38"
